"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Apr 23 08:30:49 UTC 2024","Tue Apr 23 08:30:49 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Tue Apr 23 06:46:36 UTC 2024","Tue Apr 23 06:46:46 UTC 2024","10420","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Tue Apr 23 06:46:59 UTC 2024","Tue Apr 23 06:47:10 UTC 2024","10400","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"skipped","Tue Apr 23 08:30:49 UTC 2024","Tue Apr 23 08:30:49 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"skipped","Tue Apr 23 06:00:39 UTC 2024","Tue Apr 23 06:00:39 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Tue Apr 23 06:47:10 UTC 2024","Tue Apr 23 06:47:11 UTC 2024","1518","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"skipped","Tue Apr 23 08:30:49 UTC 2024","Tue Apr 23 08:30:49 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"skipped","Tue Apr 23 06:23:06 UTC 2024","Tue Apr 23 06:23:06 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Tue Apr 23 05:44:57 UTC 2024","Tue Apr 23 05:45:13 UTC 2024","15553","","9. Client Portal - Home","","","","1. Check links",""
"broken","Tue Apr 23 06:00:39 UTC 2024","Tue Apr 23 06:00:39 UTC 2024","2","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Tue Apr 23 06:02:40 UTC 2024","Tue Apr 23 06:02:56 UTC 2024","16118","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Tue Apr 23 06:47:11 UTC 2024","Tue Apr 23 06:47:23 UTC 2024","11379","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Tue Apr 23 06:02:56 UTC 2024","Tue Apr 23 06:02:59 UTC 2024","2741","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Tue Apr 23 06:59:43 UTC 2024","Tue Apr 23 06:59:45 UTC 2024","2366","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"skipped","Tue Apr 23 06:23:06 UTC 2024","Tue Apr 23 06:23:06 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Tue Apr 23 06:46:49 UTC 2024","Tue Apr 23 06:46:52 UTC 2024","3158","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"skipped","Tue Apr 23 06:00:39 UTC 2024","Tue Apr 23 06:00:39 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"skipped","Tue Apr 23 08:30:49 UTC 2024","Tue Apr 23 08:30:49 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Tue Apr 23 06:52:44 UTC 2024","Tue Apr 23 06:56:54 UTC 2024","250710","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Tue Apr 23 05:42:27 UTC 2024","Tue Apr 23 05:43:32 UTC 2024","64236","","8. Sign Up new user","","","","1. Create a new user",""
"broken","Tue Apr 23 06:23:06 UTC 2024","Tue Apr 23 06:23:06 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Tue Apr 23 06:05:06 UTC 2024","Tue Apr 23 06:05:08 UTC 2024","1538","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Tue Apr 23 06:59:45 UTC 2024","Tue Apr 23 06:59:49 UTC 2024","4333","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"skipped","Tue Apr 23 06:23:06 UTC 2024","Tue Apr 23 06:23:06 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Tue Apr 23 06:47:23 UTC 2024","Tue Apr 23 06:47:33 UTC 2024","10055","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Tue Apr 23 06:46:55 UTC 2024","Tue Apr 23 06:46:59 UTC 2024","4825","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Tue Apr 23 06:02:59 UTC 2024","Tue Apr 23 06:02:59 UTC 2024","388","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Tue Apr 23 06:02:59 UTC 2024","Tue Apr 23 06:03:17 UTC 2024","18157","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Tue Apr 23 07:33:42 UTC 2024","Tue Apr 23 07:33:49 UTC 2024","6880","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Tue Apr 23 06:46:46 UTC 2024","Tue Apr 23 06:46:49 UTC 2024","2966","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"skipped","Tue Apr 23 06:00:39 UTC 2024","Tue Apr 23 06:00:39 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"skipped","Tue Apr 23 08:30:49 UTC 2024","Tue Apr 23 08:30:49 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Tue Apr 23 06:59:19 UTC 2024","Tue Apr 23 06:59:33 UTC 2024","14231","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"failed","Tue Apr 23 06:47:33 UTC 2024","Tue Apr 23 06:50:05 UTC 2024","152252","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"skipped","Tue Apr 23 06:00:39 UTC 2024","Tue Apr 23 06:00:39 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Tue Apr 23 06:46:52 UTC 2024","Tue Apr 23 06:46:55 UTC 2024","2210","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"broken","Tue Apr 23 08:30:49 UTC 2024","Tue Apr 23 08:30:49 UTC 2024","2","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"failed","Tue Apr 23 06:32:58 UTC 2024","Tue Apr 23 06:36:03 UTC 2024","184225","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"skipped","Tue Apr 23 06:00:39 UTC 2024","Tue Apr 23 06:00:39 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"skipped","Tue Apr 23 06:23:06 UTC 2024","Tue Apr 23 06:23:06 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"skipped","Tue Apr 23 06:23:06 UTC 2024","Tue Apr 23 06:23:06 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Tue Apr 23 07:33:49 UTC 2024","Tue Apr 23 07:34:09 UTC 2024","20719","","21. Forgot password function","","","","2. Reset password",""
"passed","Tue Apr 23 06:04:47 UTC 2024","Tue Apr 23 06:05:00 UTC 2024","12982","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"skipped","Tue Apr 23 06:00:39 UTC 2024","Tue Apr 23 06:00:39 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"skipped","Tue Apr 23 06:00:39 UTC 2024","Tue Apr 23 06:00:39 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Tue Apr 23 06:05:01 UTC 2024","Tue Apr 23 06:05:06 UTC 2024","5018","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Tue Apr 23 06:05:00 UTC 2024","Tue Apr 23 06:05:01 UTC 2024","1310","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Tue Apr 23 06:59:33 UTC 2024","Tue Apr 23 06:59:43 UTC 2024","9572","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Tue Apr 23 06:52:28 UTC 2024","Tue Apr 23 06:52:44 UTC 2024","15120","","18. Check Admin header","","","","1. Log in using manager login",""
